"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules","Number of bugs"
"L2367","BackendTransaction","com.thinkaurelius.titan.diskstorage.BackendTransaction","L144","L103","titan-core\src\main\java\com\thinkaurelius\titan\diskstorage\BackendTransaction.java","42","1","432","2","0.0747996","1","4","2","0.0741688","0.0942029","29","26","2","3","3","44","27","13","14","23","50","0.259259","0.26087","66","64","7","20","0.192982","66","2","2","0","0","1","187","292","15","4","15","4","27","3","26","0","27","89","3","26","0","276","391","20","4","20","4","43","3","41","0","43","115","3","41","0","0","0","165","11","19","0","0","4","0","44","0","8","0","0","6","1","0","7","101","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","11","3","0","7","0","0","0"
"L4477","Mutation<E extends Object, K extends Object>","com.thinkaurelius.titan.diskstorage.Mutation","L144","L103","titan-core\src\main\java\com\thinkaurelius\titan\diskstorage\Mutation.java","19","1","168","2","0","0","0","0","0","0","0","0","1","3","3","33","0","7","26","0","15","0.625","0.470149","63","63","10","6","0.470149","63","0","0","4","4","0","71","150","2","3","2","3","15","0","15","0","15","44","0","15","0","71","150","2","3","2","3","15","0","15","0","15","44","0","15","0","0","0","13","0","16","0","0","14","0","0","0","0","0","0","0","0","0","2","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L273","PermanentBackendException","com.thinkaurelius.titan.diskstorage.PermanentBackendException","L144","L103","titan-core\src\main\java\com\thinkaurelius\titan\diskstorage\PermanentBackendException.java","11","1","40","2","0","0","0","0","0","0","0","0","0","0","0","3","1","10","16","2","5","1","0.612903","19","19","4","0","0.612903","19","1","1","1","1","1","12","30","2","0","1","0","3","0","3","0","6","3","0","6","0","12","30","2","0","1","0","3","0","3","0","6","3","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L8304","ResourceUnavailableException","com.thinkaurelius.titan.diskstorage.ResourceUnavailableException","L144","L103","titan-core\src\main\java\com\thinkaurelius\titan\diskstorage\ResourceUnavailableException.java","14","1","61","2","0","0","0","0","0","0","0","0","1","4","4","9","1","2","3","0","4","0.8","0.395833","19","19","4","1","0.395833","19","1","1","0","0","1","29","48","2","0","1","0","4","0","4","0","8","18","0","8","0","29","48","2","0","1","0","4","0","4","0","8","18","0","8","0","0","0","5","2","2","0","0","2","0","0","0","0","0","2","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0"
"L7057","TemporaryBackendException","com.thinkaurelius.titan.diskstorage.TemporaryBackendException","L144","L103","titan-core\src\main\java\com\thinkaurelius\titan\diskstorage\TemporaryBackendException.java","14","1","43","2","0","0","0","0","0","0","0","0","0","0","0","3","1","2","3","2","5","1","0.647059","22","22","4","0","0.647059","22","1","1","1","2","1","12","30","2","0","1","0","3","0","3","0","6","3","0","6","0","12","30","2","0","1","0","3","0","3","0","6","3","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L11365","AbstractKCVSTest","com.thinkaurelius.titan.diskstorage.AbstractKCVSTest","L144","L103","titan-test\src\main\java\com\thinkaurelius\titan\diskstorage\AbstractKCVSTest.java","11","1","23","2","0","0","0","0","0","0","0","0","0","0","0","2","4","4","2","4","6","1","0.25","3","3","1","0","0.25","3","0","0","4","24","0","9","13","1","2","1","2","2","0","0","0","2","2","0","0","0","9","13","1","2","1","2","2","0","0","0","2","2","0","0","0","0","0","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"L1832","DistributedStoreManagerTest<T extends DistributedStoreManager>","com.thinkaurelius.titan.diskstorage.DistributedStoreManagerTest","L144","L103","titan-test\src\main\java\com\thinkaurelius\titan\diskstorage\DistributedStoreManagerTest.java","17","1","37","2","0","0","0","0","0","0","0","0","2","0","0","2","3","2","0","0","2","0","0","0","0","0","3","0","0","0","0","2","2","0","18","21","2","0","2","0","2","0","2","0","2","6","0","2","0","18","21","2","0","2","0","2","0","2","0","2","6","0","2","0","0","0","8","1","7","0","0","0","0","0","0","1","0","0","0","0","0","1","7","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"L11470","ExpectedValueCheckingTest","com.thinkaurelius.titan.diskstorage.ExpectedValueCheckingTest","L144","L103","titan-test\src\main\java\com\thinkaurelius\titan\diskstorage\ExpectedValueCheckingTest.java","48","1","240","2","0.150943","1","2","2","0.129534","0.113821","25","14","6","0","0","6","11","0","0","0","6","0.142857","0.284884","49","5","1","6","0.284884","49","0","0","0","0","0","123","193","25","0","25","0","6","0","6","0","6","72","0","6","0","123","193","25","0","25","0","6","0","6","0","6","72","0","6","0","0","0","24","52","4","0","0","0","0","13","0","1","0","0","0","1","0","6","5","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","42","0","0"
"L1162","IDAuthorityTest","com.thinkaurelius.titan.diskstorage.IDAuthorityTest","L144","L103","titan-test\src\main\java\com\thinkaurelius\titan\diskstorage\IDAuthorityTest.java","45","1","496","2","0","0","0","0","0","0","0","0","12","5","5","49","7","5","0","0","16","0.133333","0.109541","31","21","2","13","0.0966921","38","0","0","5","5","0","252","327","14","1","14","1","16","13","14","1","16","191","13","14","1","355","452","20","6","20","6","27","13","20","1","27","246","13","20","1","0","3","78","84","49","0","3","9","0","0","0","2","0","4","0","0","0","16","65","3","0","12","0","0","14","0","0","0","0","0","0","0","0","2","0","0","7","0","0","0","80","0","0"
"L11598","KeyColumn","com.thinkaurelius.titan.diskstorage.KeyColumn","L144","L103","titan-test\src\main\java\com\thinkaurelius\titan\diskstorage\KeyColumn.java","5","1","27","2","0","0","0","0","0","0","0","0","1","2","1","6","0","2","5","0","3","0","0","0","0","0","4","0","0","0","0","0","0","0","18","23","2","0","2","0","3","2","3","0","3","9","2","3","0","18","23","2","0","2","0","3","2","3","0","3","9","2","3","0","0","0","13","0","4","0","0","3","0","0","0","0","0","0","0","0","0","1","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0"
"L743","KeyColumnValueStoreTest","com.thinkaurelius.titan.diskstorage.KeyColumnValueStoreTest","L144","L103","titan-test\src\main\java\com\thinkaurelius\titan\diskstorage\KeyColumnValueStoreTest.java","32","1","1200","2","0.0260903","1","4","2","0.0171086","0.0232558","20","20","2","6","5","138","30","6","3","64","121","0.113208","0.138151","130","70","6","47","0.132056","131","1","1","5","10","1","811","1114","9","5","8","3","57","4","52","1","59","616","4","52","1","861","1169","14","5","13","3","60","4","55","1","62","649","4","55","1","0","0","156","33","45","0","0","12","0","14","0","1","0","6","4","8","0","6","112","0","0","0","0","0","16","11","5","0","0","0","0","0","0","0","0","2","15","1","4","15","2","0","0"
"L11894","KeyColumnValueStoreUtil","com.thinkaurelius.titan.diskstorage.KeyColumnValueStoreUtil","L144","L103","titan-test\src\main\java\com\thinkaurelius\titan\diskstorage\KeyColumnValueStoreUtil.java","13","1","69","2","0","0","0","0","0","0","0","0","7","1","1","10","4","1","14","0","7","0.375","0.06","3","3","3","5","0.06","3","0","0","0","0","0","47","57","0","0","0","0","7","0","7","0","7","27","0","7","0","47","57","0","0","0","0","7","0","7","0","7","27","0","7","0","0","0","16","13","3","0","0","2","0","0","0","1","0","0","0","0","0","3","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0"
"L772","KeyValueStoreTest","com.thinkaurelius.titan.diskstorage.KeyValueStoreTest","L144","L103","titan-test\src\main\java\com\thinkaurelius\titan\diskstorage\KeyValueStoreTest.java","24","1","263","2","0","0","0","0","0","0","0","0","2","3","3","41","19","1","0","30","52","0","0.0291262","6","0","0","22","0.0291262","6","1","1","1","1","1","200","240","7","3","6","1","22","0","21","1","24","137","0","21","1","200","240","7","3","6","1","22","0","21","1","24","137","0","21","1","0","0","50","4","14","0","0","7","0","0","0","1","0","0","0","1","0","7","45","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","0","2","0","1","0","0"
"L11992","KeyValueStoreUtil","com.thinkaurelius.titan.diskstorage.KeyValueStoreUtil","L144","L103","titan-test\src\main\java\com\thinkaurelius\titan\diskstorage\KeyValueStoreUtil.java","15","1","83","2","0","0","0","0","0","0","0","0","5","2","2","16","5","3","20","0","10","0","0","0","0","0","11","0","0","0","0","0","0","0","56","69","5","5","5","5","10","4","10","0","10","34","4","10","0","56","69","5","5","5","5","10","4","10","0","10","34","4","10","0","0","0","28","10","6","0","0","1","0","0","0","1","0","0","0","0","0","2","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","4","0","0","0","10","0","0"
"L1173","LockKeyColumnValueStoreTest","com.thinkaurelius.titan.diskstorage.LockKeyColumnValueStoreTest","L144","L103","titan-test\src\main\java\com\thinkaurelius\titan\diskstorage\LockKeyColumnValueStoreTest.java","43","1","522","2","0.0407407","1","2","2","0.0416667","0.0378549","20","12","19","3","3","52","6","5","0","0","22","0","0.189655","66","9","0","21","0.199495","79","1","1","5","5","1","282","432","15","2","14","0","22","6","20","1","24","196","6","20","1","317","480","22","2","21","0","24","6","21","1","26","214","6","21","1","0","0","60","59","13","0","0","9","0","12","0","1","0","0","0","0","0","0","38","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","2","0","9","0","0","1","57","0","0"
"L1185","MultiWriteKeyColumnValueStoreTest","com.thinkaurelius.titan.diskstorage.MultiWriteKeyColumnValueStoreTest","L144","L103","titan-test\src\main\java\com\thinkaurelius\titan\diskstorage\MultiWriteKeyColumnValueStoreTest.java","28","1","430","2","0","0","0","0","0","0","0","0","13","6","6","58","9","4","0","0","15","0.0625","0.0616438","18","16","1","15","0.0616438","18","1","1","4","4","1","274","403","12","2","11","0","15","2","15","1","17","207","2","15","1","274","403","12","2","11","0","15","2","15","1","17","207","2","15","1","0","0","46","77","19","0","0","12","0","0","0","1","0","6","4","0","0","2","33","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","6","0","0","0","77","0","0"
"L12188","BerkeleyBlueprintsTest","com.thinkaurelius.titan.blueprints.BerkeleyBlueprintsTest","L12171","L103","titan-berkeleyje\src\test\java\com\thinkaurelius\titan\blueprints\BerkeleyBlueprintsTest.java","22","1","84","2","0","0","0","0","0","0","0","0","7","1","1","12","7","0","0","7","14","0.125","0.0701754","4","3","1","7","0.0701754","4","1","1","0","0","1","53","63","5","1","2","0","7","0","7","0","28","23","0","24","0","53","63","5","1","2","0","7","0","7","0","28","23","0","24","0","0","0","16","1","2","0","0","0","0","0","0","1","0","0","0","0","0","0","15","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0"
"L12229","AbstractCassandraBlueprintsTest","com.thinkaurelius.titan.blueprints.AbstractCassandraBlueprintsTest","L12171","L103","titan-cassandra\src\test\java\com\thinkaurelius\titan\blueprints\AbstractCassandraBlueprintsTest.java","10","1","28","2","0","0","0","0","0","0","0","0","3","0","0","4","3","2","0","0","4","0.25","0.222222","4","3","1","3","0.222222","4","1","1","2","2","1","14","19","3","2","0","1","4","0","3","0","25","2","0","20","0","14","19","3","2","0","1","4","0","3","0","25","2","0","20","0","0","0","10","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L12236","EmbeddedBlueprintsTest","com.thinkaurelius.titan.blueprints.EmbeddedBlueprintsTest","L12171","L103","titan-cassandra\src\test\java\com\thinkaurelius\titan\blueprints\EmbeddedBlueprintsTest.java","16","1","31","2","0","0","0","0","0","0","0","0","1","0","0","2","3","0","0","0","2","0.5","0.176471","3","3","1","1","0.176471","3","2","2","0","0","1","14","16","3","2","0","1","2","0","1","0","26","5","0","21","0","14","16","3","2","0","1","2","0","1","0","26","5","0","21","0","0","0","7","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0"
"L12243","ThriftBlueprintsTest","com.thinkaurelius.titan.blueprints.ThriftBlueprintsTest","L12171","L103","titan-cassandra\src\test\java\com\thinkaurelius\titan\blueprints\ThriftBlueprintsTest.java","16","1","36","2","0","0","0","0","0","0","0","0","2","0","0","3","3","0","0","0","3","0.333333","0.142857","3","3","1","2","0.142857","3","2","2","0","0","1","18","21","3","2","0","1","3","0","2","0","27","6","0","22","0","18","21","3","2","0","1","3","0","2","0","27","6","0","22","0","0","0","10","2","1","0","0","0","0","0","0","1","0","0","0","0","0","0","9","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0"
"L12249","HBaseBlueprintsTest","com.thinkaurelius.titan.blueprints.HBaseBlueprintsTest","L12171","L103","titan-hbase-parent\titan-hbase-core\src\test\java\com\thinkaurelius\titan\blueprints\HBaseBlueprintsTest.java","19","1","53","2","0","0","0","0","0","0","0","0","5","1","1","7","3","0","0","0","5","0.2","0.121212","4","3","1","4","0.121212","4","1","1","0","0","1","29","35","3","1","0","0","5","0","4","0","26","10","0","22","0","29","35","3","1","0","0","5","0","4","0","26","10","0","22","0","0","0","14","2","3","0","0","2","0","0","0","1","0","0","0","0","0","1","13","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"L12189","TitanBlueprintsTest","com.thinkaurelius.titan.blueprints.TitanBlueprintsTest","L12171","L103","titan-test\src\main\java\com\thinkaurelius\titan\blueprints\TitanBlueprintsTest.java","36","1","220","2","0","0","0","0","0","0","0","0","3","2","2","33","6","4","1","6","30","0.142857","0.140244","23","16","3","18","0.140244","23","0","0","4","6","0","141","185","3","1","3","1","24","0","20","0","24","73","0","20","0","141","185","3","1","3","1","24","0","20","0","24","73","0","20","0","0","0","46","28","9","0","0","4","0","0","0","1","0","0","0","0","0","4","43","0","0","0","0","0","10","2","2","0","0","0","0","0","0","1","0","0","2","2","0","12","0","0","0"
"L12274","TitanEdgeTestSuite","com.thinkaurelius.titan.blueprints.TitanEdgeTestSuite","L12171","L103","titan-test\src\main\java\com\thinkaurelius\titan\blueprints\TitanEdgeTestSuite.java","8","1","14","2","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","5","7","0","0","0","0","1","0","1","0","1","1","0","1","0","5","7","0","0","0","0","1","0","1","0","1","1","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L12281","TitanGraphQueryTestSuite","com.thinkaurelius.titan.blueprints.TitanGraphQueryTestSuite","L12171","L103","titan-test\src\main\java\com\thinkaurelius\titan\blueprints\TitanGraphQueryTestSuite.java","14","1","44","2","0.941176","1","4","2","0.709677","0.814815","22","22","2","1","1","5","0","1","1","0","3","0.25","0.1","3","3","1","3","0.1","3","0","0","0","0","0","27","31","0","0","0","0","3","0","3","0","3","15","0","3","0","27","31","0","0","0","0","3","0","3","0","3","15","0","3","0","0","0","27","4","0","0","0","0","0","17","0","1","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0"
"L12298","TitanSpecificBlueprintsTestSuite","com.thinkaurelius.titan.blueprints.TitanSpecificBlueprintsTestSuite","L12171","L103","titan-test\src\main\java\com\thinkaurelius\titan\blueprints\TitanSpecificBlueprintsTestSuite.java","11","1","31","2","0","0","0","0","0","0","0","0","1","0","0","2","0","1","1","0","2","0.333333","0.157895","3","3","1","2","0.157895","3","0","0","0","0","0","16","21","0","0","0","0","2","0","2","0","2","10","0","2","0","16","21","0","0","0","0","2","0","2","0","2","10","0","2","0","0","0","7","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0"
"L12292","TransactionalTitanGraphTestSuite","com.thinkaurelius.titan.blueprints.TransactionalTitanGraphTestSuite","L12171","L103","titan-test\src\main\java\com\thinkaurelius\titan\blueprints\TransactionalTitanGraphTestSuite.java","12","1","35","2","0","0","0","0","0","0","0","0","1","0","0","2","0","1","1","0","2","0.333333","0.190476","4","3","1","2","0.190476","4","0","0","0","0","0","17","24","0","0","0","0","2","0","2","0","2","10","0","2","0","17","24","0","0","0","0","2","0","2","0","2","10","0","2","0","0","0","7","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0"
"L12355","InMemoryBlueprintsTest","com.thinkaurelius.titan.blueprints.InMemoryBlueprintsTest","L12171","L103","titan-test\src\test\java\com\thinkaurelius\titan\blueprints\InMemoryBlueprintsTest.java","15","1","59","2","0","0","0","0","0","0","0","0","7","0","0","7","2","0","0","0","7","0.25","0.121212","4","4","2","6","0.121212","4","1","1","0","0","1","29","45","3","1","0","0","7","0","7","0","29","7","0","25","0","29","45","3","1","0","0","7","0","7","0","29","7","0","25","0","0","0","16","6","3","0","0","0","0","0","0","1","0","0","0","0","0","5","15","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"L12459","CassandraGraphTest","com.thinkaurelius.titan.graphdb.CassandraGraphTest","L12366","L103","titan-cassandra\src\test\java\com\thinkaurelius\titan\graphdb\CassandraGraphTest.java","20","1","95","2","0.513274","1","2","2","0.368421","0.380952","28","24","6","0","0","6","1","3","0","0","6","0.166667","0.0454545","3","3","1","5","0.0454545","3","2","2","3","3","1","63","76","10","8","0","0","6","0","5","0","113","29","8","101","3","63","76","10","8","0","0","6","0","5","0","113","29","8","101","3","0","0","39","9","16","0","0","0","0","17","0","1","0","0","0","0","0","0","15","0","0","6","0","0","10","0","0","0","0","0","0","0","0","0","0","0","6","0","2","1","6","0","0"
"L25113","TestMockIndexProvider","com.thinkaurelius.titan.graphdb.TestMockIndexProvider","L12366","L103","titan-test\src\main\java\com\thinkaurelius\titan\graphdb\TestMockIndexProvider.java","20","1","100","2","0","0","0","0","0","0","0","0","11","1","1","15","16","0","0","0","13","0.0714286","0.0441176","3","3","1","13","0.0441176","3","2","2","0","0","1","65","81","4","1","4","1","13","2","13","0","13","18","2","13","0","65","81","4","1","4","1","13","2","13","0","13","18","2","13","0","0","0","35","2","2","0","0","2","0","0","0","1","0","0","0","1","0","0","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","2","0","0"
