"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous fixes","Number of committers","Number of previous modifications","Number of developer commits","Number of bugs"
"L122","CassandraStorageSetup.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/CassandraStorageSetup.java","L121","8","0","134","1","4","65","1615","0"
"L12175","AbstractCassandraBlueprintsTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/blueprints/AbstractCassandraBlueprintsTest.java","L12174","1","0","18","0","4","11","142","0"
"L12176","EmbeddedBlueprintsTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/blueprints/EmbeddedBlueprintsTest.java","L12174","1","0","23","0","4","6","142","0"
"L12177","ThriftBlueprintsTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/blueprints/ThriftBlueprintsTest.java","L12174","1","0","27","0","4","13","142","0"
"L12368","CassandraGraphTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/graphdb/CassandraGraphTest.java","L12367","1","0","76","0","4","7","1615","0"
"L26422","CassandraSSLTests.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/testcategory/CassandraSSLTests.java","L26421","1","0","2","0","2","3","1077","0"
"L26423","StandaloneTests.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/testcategory/StandaloneTests.java","L26421","1","0","2","0","1","2","1615","0"
"L809","AbstractCassandraStoreTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/diskstorage/cassandra/AbstractCassandraStoreTest.java","L808","3","0","102","0","4","16","142","0"
"L810","CassandraTransactionTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/diskstorage/cassandra/CassandraTransactionTest.java","L808","3","0","59","0","2","2","1077","0"
"L811","UUIDTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/diskstorage/cassandra/UUIDTest.java","L808","1","0","25","0","1","2","1615","0"
"L12446","AstyanaxGraphConcurrentTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/graphdb/astyanax/AstyanaxGraphConcurrentTest.java","L12445","1","0","18","0","4","6","142","0"
"L12447","AstyanaxGraphPerformanceMemoryTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/graphdb/astyanax/AstyanaxGraphPerformanceMemoryTest.java","L12445","1","0","15","0","4","6","142","0"
"L12448","AstyanaxGraphTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/graphdb/astyanax/AstyanaxGraphTest.java","L12445","1","0","10","0","3","10","1077","0"
"L12449","AstyanaxPartitionGraphTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/graphdb/astyanax/AstyanaxPartitionGraphTest.java","L12445","1","0","16","0","4","6","142","0"
"L12478","EmbeddedEventualGraphTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/graphdb/embedded/EmbeddedEventualGraphTest.java","L12477","1","0","15","0","4","6","142","0"
"L12479","EmbeddedGraphConcurrentTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/graphdb/embedded/EmbeddedGraphConcurrentTest.java","L12477","1","0","18","0","4","6","142","0"
"L12480","EmbeddedGraphMemoryPerformanceTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/graphdb/embedded/EmbeddedGraphMemoryPerformanceTest.java","L12477","1","0","15","0","4","6","142","0"
"L12481","EmbeddedGraphTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/graphdb/embedded/EmbeddedGraphTest.java","L12477","1","0","10","0","3","10","1077","0"
"L12482","EmbeddedPartitionGraphTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/graphdb/embedded/EmbeddedPartitionGraphTest.java","L12477","1","0","16","0","4","6","142","0"
"L12507","ThriftEventualGraphTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/graphdb/thrift/ThriftEventualGraphTest.java","L12506","1","0","17","0","4","6","142","0"
"L12508","ThriftGraphCacheTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/graphdb/thrift/ThriftGraphCacheTest.java","L12506","1","0","20","0","4","18","142","0"
"L12509","ThriftGraphConcurrentTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/graphdb/thrift/ThriftGraphConcurrentTest.java","L12506","1","0","18","0","4","6","142","0"
"L12510","ThriftGraphIterativeTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/graphdb/thrift/ThriftGraphIterativeTest.java","L12506","1","0","24","0","4","14","142","0"
"L12511","ThriftGraphPerformanceMemoryTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/graphdb/thrift/ThriftGraphPerformanceMemoryTest.java","L12506","1","0","16","0","4","6","142","0"
"L12512","ThriftGraphSerialSpeedTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/graphdb/thrift/ThriftGraphSerialSpeedTest.java","L12506","3","0","45","0","4","14","142","0"
"L12513","ThriftGraphTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/graphdb/thrift/ThriftGraphTest.java","L12506","1","0","10","0","3","10","1077","0"
"L12514","ThriftOLAPTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/graphdb/thrift/ThriftOLAPTest.java","L12506","1","0","15","0","4","6","142","0"
"L12515","ThriftOperationCountingTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/graphdb/thrift/ThriftOperationCountingTest.java","L12506","1","0","19","0","4","7","1615","0"
"L12516","ThriftPartitionGraphTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/graphdb/thrift/ThriftPartitionGraphTest.java","L12506","1","0","16","0","4","6","142","0"
"L12517","ThriftWritePerformanceTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/graphdb/thrift/ThriftWritePerformanceTest.java","L12506","1","0","15","0","4","7","142","0"
"L900","AstyanaxIDAuthorityTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/diskstorage/cassandra/astyanax/AstyanaxIDAuthorityTest.java","L899","1","0","20","0","4","13","142","0"
"L901","AstyanaxLockStoreTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/diskstorage/cassandra/astyanax/AstyanaxLockStoreTest.java","L899","1","0","16","0","4","11","142","0"
"L902","AstyanaxLogTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/diskstorage/cassandra/astyanax/AstyanaxLogTest.java","L899","1","0","19","0","4","15","142","0"
"L903","AstyanaxMultiWriteStoreTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/diskstorage/cassandra/astyanax/AstyanaxMultiWriteStoreTest.java","L899","1","0","16","0","4","11","142","0"
"L904","AstyanaxSSLStoreTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/diskstorage/cassandra/astyanax/AstyanaxSSLStoreTest.java","L899","1","0","17","0","2","3","1077","0"
"L905","AstyanaxStoreTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/diskstorage/cassandra/astyanax/AstyanaxStoreTest.java","L899","1","0","22","0","4","11","142","0"
"L1258","EmbeddedIDAuthorityTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/diskstorage/cassandra/embedded/EmbeddedIDAuthorityTest.java","L1257","1","0","15","0","4","10","53","0"
"L1259","EmbeddedLockStoreTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/diskstorage/cassandra/embedded/EmbeddedLockStoreTest.java","L1257","1","0","11","0","3","8","53","0"
"L1260","EmbeddedLogTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/diskstorage/cassandra/embedded/EmbeddedLogTest.java","L1257","1","0","19","0","4","15","142","0"
"L1261","EmbeddedMultiWriteStoreTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/diskstorage/cassandra/embedded/EmbeddedMultiWriteStoreTest.java","L1257","1","0","11","0","3","8","53","0"
"L1262","EmbeddedStoreTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/diskstorage/cassandra/embedded/EmbeddedStoreTest.java","L1257","1","0","34","0","4","11","142","0"
"L1471","ThriftDistributedStoreManagerTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/diskstorage/cassandra/thrift/ThriftDistributedStoreManagerTest.java","L1470","2","0","24","0","4","11","142","0"
"L1472","ThriftIDAuthorityTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/diskstorage/cassandra/thrift/ThriftIDAuthorityTest.java","L1470","1","0","20","0","4","13","142","0"
"L1473","ThriftLockStoreTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/diskstorage/cassandra/thrift/ThriftLockStoreTest.java","L1470","1","0","16","0","4","11","142","0"
"L1474","ThriftLogTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/diskstorage/cassandra/thrift/ThriftLogTest.java","L1470","1","0","19","0","4","15","142","0"
"L1475","ThriftMultiWriteStoreTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/diskstorage/cassandra/thrift/ThriftMultiWriteStoreTest.java","L1470","1","0","16","0","4","11","142","0"
"L1476","ThriftSSLStoreTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/diskstorage/cassandra/thrift/ThriftSSLStoreTest.java","L1470","1","0","17","0","2","3","1077","0"
"L1477","ThriftStoreTest.java","titan-cassandra/src/test/java/com/thinkaurelius/titan/diskstorage/cassandra/thrift/ThriftStoreTest.java","L1470","1","0","22","0","4","11","142","0"
"L803","AbstractCassandraStoreManager.java","titan-cassandra/src/main/java/com/thinkaurelius/titan/diskstorage/cassandra/AbstractCassandraStoreManager.java","L802","17","0","199","0","4","108","1615","0"
"L804","CassandraTransaction.java","titan-cassandra/src/main/java/com/thinkaurelius/titan/diskstorage/cassandra/CassandraTransaction.java","L802","1","0","42","0","4","29","1077","0"
"L805","CLevel.java","titan-cassandra/src/main/java/com/thinkaurelius/titan/diskstorage/cassandra/CLevel.java","L802","8","0","46","0","3","4","53","0"
"L806","CLevelInterface.java","titan-cassandra/src/main/java/com/thinkaurelius/titan/diskstorage/cassandra/CLevelInterface.java","L802","1","0","6","0","3","4","53","0"
"L897","AstyanaxKeyColumnValueStore.java","titan-cassandra/src/main/java/com/thinkaurelius/titan/diskstorage/cassandra/astyanax/AstyanaxKeyColumnValueStore.java","L896","15","0","268","0","4","25","142","0"
"L898","AstyanaxStoreManager.java","titan-cassandra/src/main/java/com/thinkaurelius/titan/diskstorage/cassandra/astyanax/AstyanaxStoreManager.java","L896","49","0","433","0","5","143","1077","0"
"L1255","CassandraEmbeddedKeyColumnValueStore.java","titan-cassandra/src/main/java/com/thinkaurelius/titan/diskstorage/cassandra/embedded/CassandraEmbeddedKeyColumnValueStore.java","L1254","41","0","363","0","4","87","142","0"
"L1256","CassandraEmbeddedStoreManager.java","titan-cassandra/src/main/java/com/thinkaurelius/titan/diskstorage/cassandra/embedded/CassandraEmbeddedStoreManager.java","L1254","38","0","274","0","4","113","142","0"
"L1468","CassandraThriftKeyColumnValueStore.java","titan-cassandra/src/main/java/com/thinkaurelius/titan/diskstorage/cassandra/thrift/CassandraThriftKeyColumnValueStore.java","L1467","39","0","389","0","4","90","142","0"
"L1469","CassandraThriftStoreManager.java","titan-cassandra/src/main/java/com/thinkaurelius/titan/diskstorage/cassandra/thrift/CassandraThriftStoreManager.java","L1467","55","0","458","0","4","129","1077","0"
"L1873","CassandraDaemonWrapper.java","titan-cassandra/src/main/java/com/thinkaurelius/titan/diskstorage/cassandra/utils/CassandraDaemonWrapper.java","L1872","4","0","38","0","3","8","1077","0"
"L1874","CassandraHelper.java","titan-cassandra/src/main/java/com/thinkaurelius/titan/diskstorage/cassandra/utils/CassandraHelper.java","L1872","9","0","99","0","4","9","53","0"
"L1727","CTConnection.java","titan-cassandra/src/main/java/com/thinkaurelius/titan/diskstorage/cassandra/thrift/thriftpool/CTConnection.java","L1726","3","0","36","0","4","16","53","0"
"L1728","CTConnectionFactory.java","titan-cassandra/src/main/java/com/thinkaurelius/titan/diskstorage/cassandra/thrift/thriftpool/CTConnectionFactory.java","L1726","12","0","152","1","4","39","1615","0"
"L1729","CTConnectionPool.java","titan-cassandra/src/main/java/com/thinkaurelius/titan/diskstorage/cassandra/thrift/thriftpool/CTConnectionPool.java","L1726","4","0","24","0","4","15","53","0"
"L36345","TBinaryProtocol.java","titan-cassandra/src/main/java/org/apache/cassandra/thrift/TBinaryProtocol.java","L36344","1","0","8","0","4","6","53","0"
"L131","HBaseStatus.java","titan-hbase-parent/titan-hbase-core/src/test/java/com/thinkaurelius/titan/HBaseStatus.java","L130","7","0","82","0","2","6","1077","0"
"L132","HBaseStorageSetup.java","titan-hbase-parent/titan-hbase-core/src/test/java/com/thinkaurelius/titan/HBaseStorageSetup.java","L130","14","0","169","0","2","8","1077","0"
"L12179","HBaseBlueprintsTest.java","titan-hbase-parent/titan-hbase-core/src/test/java/com/thinkaurelius/titan/blueprints/HBaseBlueprintsTest.java","L12178","3","0","40","0","3","8","1077","0"
"L10620","HBaseDistributedStoreManagerTest.java","titan-hbase-parent/titan-hbase-core/src/test/java/com/thinkaurelius/titan/diskstorage/hbase/HBaseDistributedStoreManagerTest.java","L10619","2","0","32","0","3","8","1077","0"
"L10621","HBaseIDAuthorityTest.java","titan-hbase-parent/titan-hbase-core/src/test/java/com/thinkaurelius/titan/diskstorage/hbase/HBaseIDAuthorityTest.java","L10619","2","0","28","0","4","10","1077","0"
"L10622","HBaseLockStoreTest.java","titan-hbase-parent/titan-hbase-core/src/test/java/com/thinkaurelius/titan/diskstorage/hbase/HBaseLockStoreTest.java","L10619","2","0","23","0","3","8","1077","0"
"L10623","HBaseLogTest.java","titan-hbase-parent/titan-hbase-core/src/test/java/com/thinkaurelius/titan/diskstorage/hbase/HBaseLogTest.java","L10619","2","0","24","0","3","8","1077","0"
"L10624","HBaseMultiWriteStoreTest.java","titan-hbase-parent/titan-hbase-core/src/test/java/com/thinkaurelius/titan/diskstorage/hbase/HBaseMultiWriteStoreTest.java","L10619","2","0","23","0","3","8","1077","0"
"L10625","HBaseStoreTest.java","titan-hbase-parent/titan-hbase-core/src/test/java/com/thinkaurelius/titan/diskstorage/hbase/HBaseStoreTest.java","L10619","2","0","32","0","3","9","1077","0"
"L24850","HBaseGraphConcurrentTest.java","titan-hbase-parent/titan-hbase-core/src/test/java/com/thinkaurelius/titan/graphdb/hbase/HBaseGraphConcurrentTest.java","L24849","2","0","23","0","2","4","1077","0"
"L24851","HBaseGraphPerformanceMemoryTest.java","titan-hbase-parent/titan-hbase-core/src/test/java/com/thinkaurelius/titan/graphdb/hbase/HBaseGraphPerformanceMemoryTest.java","L24849","2","0","23","0","2","4","1077","0"
"L24852","HBaseGraphTest.java","titan-hbase-parent/titan-hbase-core/src/test/java/com/thinkaurelius/titan/graphdb/hbase/HBaseGraphTest.java","L24849","2","0","27","0","2","7","1077","0"
"L24853","HBaseOLAPTest.java","titan-hbase-parent/titan-hbase-core/src/test/java/com/thinkaurelius/titan/graphdb/hbase/HBaseOLAPTest.java","L24849","2","0","23","0","2","4","1077","0"
"L24854","HBaseOperationCountingTest.java","titan-hbase-parent/titan-hbase-core/src/test/java/com/thinkaurelius/titan/graphdb/hbase/HBaseOperationCountingTest.java","L24849","2","0","27","0","2","5","1615","0"
"L24855","HBasePartitionGraphTest.java","titan-hbase-parent/titan-hbase-core/src/test/java/com/thinkaurelius/titan/graphdb/hbase/HBasePartitionGraphTest.java","L24849","2","0","24","0","2","4","1077","0"
"L10613","HBaseCompat.java","titan-hbase-parent/titan-hbase-core/src/main/java/com/thinkaurelius/titan/diskstorage/hbase/HBaseCompat.java","L10612","1","0","7","0","3","6","53","0"
"L10614","HBaseCompatLoader.java","titan-hbase-parent/titan-hbase-core/src/main/java/com/thinkaurelius/titan/diskstorage/hbase/HBaseCompatLoader.java","L10612","9","0","47","0","2","9","1077","0"
"L10615","HBaseKeyColumnValueStore.java","titan-hbase-parent/titan-hbase-core/src/main/java/com/thinkaurelius/titan/diskstorage/hbase/HBaseKeyColumnValueStore.java","L10612","20","0","265","0","4","18","53","0"
"L10616","HBaseStoreManager.java","titan-hbase-parent/titan-hbase-core/src/main/java/com/thinkaurelius/titan/diskstorage/hbase/HBaseStoreManager.java","L10612","82","0","642","1","4","54","1615","0"
"L10617","HBaseTransaction.java","titan-hbase-parent/titan-hbase-core/src/main/java/com/thinkaurelius/titan/diskstorage/hbase/HBaseTransaction.java","L10612","1","0","8","0","3","8","142","0"
"L10585","HBaseCompat0_94.java","titan-hbase-parent/titan-hbase-094/src/main/java/com/thinkaurelius/titan/diskstorage/hbase/HBaseCompat0_94.java","L10584","1","0","14","0","3","8","53","0"
"L10595","HBaseCompat0_96.java","titan-hbase-parent/titan-hbase-096/src/main/java/com/thinkaurelius/titan/diskstorage/hbase/HBaseCompat0_96.java","L10594","1","0","16","0","3","7","53","0"
"L10605","HBaseCompat0_98.java","titan-hbase-parent/titan-hbase-098/src/main/java/com/thinkaurelius/titan/diskstorage/hbase/HBaseCompat0_98.java","L10604","1","0","16","0","3","4","53","0"
"L140","DaemonRunner.java","titan-test/src/main/java/com/thinkaurelius/titan/DaemonRunner.java","L139","15","0","121","0","2","5","1615","0"
"L141","StorageSetup.java","titan-test/src/main/java/com/thinkaurelius/titan/StorageSetup.java","L139","7","0","56","0","2","14","1077","0"
"L142","TestBed.java","titan-test/src/main/java/com/thinkaurelius/titan/TestBed.java","L139","8","0","100","1","3","26","1615","0"
"L143","TestByteBuffer.java","titan-test/src/main/java/com/thinkaurelius/titan/TestByteBuffer.java","L139","22","0","193","0","1","3","1077","0"
"L178","AbstractKCVSTest.java","titan-test/src/main/java/com/thinkaurelius/titan/diskstorage/AbstractKCVSTest.java","L177","1","0","14","0","3","9","142","0"
"L179","DistributedStoreManagerTest.java","titan-test/src/main/java/com/thinkaurelius/titan/diskstorage/DistributedStoreManagerTest.java","L177","1","0","29","0","3","8","53","0"
"L180","ExpectedValueCheckingTest.java","titan-test/src/main/java/com/thinkaurelius/titan/diskstorage/ExpectedValueCheckingTest.java","L177","1","0","160","0","2","2","1077","0"
"L181","IDAuthorityTest.java","titan-test/src/main/java/com/thinkaurelius/titan/diskstorage/IDAuthorityTest.java","L177","45","0","390","0","4","14","1077","0"
"L183","KeyColumnValueStoreTest.java","titan-test/src/main/java/com/thinkaurelius/titan/diskstorage/KeyColumnValueStoreTest.java","L177","86","0","886","0","5","97","1615","0"
"L184","KeyColumnValueStoreUtil.java","titan-test/src/main/java/com/thinkaurelius/titan/diskstorage/KeyColumnValueStoreUtil.java","L177","4","0","56","0","3","15","53","0"
"L185","KeyValueStoreTest.java","titan-test/src/main/java/com/thinkaurelius/titan/diskstorage/KeyValueStoreTest.java","L177","20","0","218","0","5","31","1077","0"
"L186","KeyValueStoreUtil.java","titan-test/src/main/java/com/thinkaurelius/titan/diskstorage/KeyValueStoreUtil.java","L177","7","0","67","0","3","12","53","0"
"L187","LockKeyColumnValueStoreTest.java","titan-test/src/main/java/com/thinkaurelius/titan/diskstorage/LockKeyColumnValueStoreTest.java","L177","34","0","352","0","4","70","1615","0"
"L188","MultiWriteKeyColumnValueStoreTest.java","titan-test/src/main/java/com/thinkaurelius/titan/diskstorage/MultiWriteKeyColumnValueStoreTest.java","L177","44","0","295","0","3","39","1077","0"
"L12181","TitanBlueprintsTest.java","titan-test/src/main/java/com/thinkaurelius/titan/blueprints/TitanBlueprintsTest.java","L12180","10","0","160","0","5","25","1077","0"
"L12182","TitanEdgeTestSuite.java","titan-test/src/main/java/com/thinkaurelius/titan/blueprints/TitanEdgeTestSuite.java","L12180","1","0","9","0","2","2","1077","0"
"L12183","TitanGraphQueryTestSuite.java","titan-test/src/main/java/com/thinkaurelius/titan/blueprints/TitanGraphQueryTestSuite.java","L12180","3","0","34","0","3","12","1077","0"
"L12184","TitanSpecificBlueprintsTestSuite.java","titan-test/src/main/java/com/thinkaurelius/titan/blueprints/TitanSpecificBlueprintsTestSuite.java","L12180","1","0","20","0","3","7","142","0"
"L12185","TransactionalTitanGraphTestSuite.java","titan-test/src/main/java/com/thinkaurelius/titan/blueprints/TransactionalTitanGraphTestSuite.java","L12180","1","0","22","0","2","16","1077","0"
"L12370","FakeVertex.java","titan-test/src/main/java/com/thinkaurelius/titan/graphdb/FakeVertex.java","L12369","1","0","12","0","2","3","1077","0"
"L12371","TestMockIndexProvider.java","titan-test/src/main/java/com/thinkaurelius/titan/graphdb/TestMockIndexProvider.java","L12369","3","0","77","1","2","8","1077","0"
"L12372","TestMockLog.java","titan-test/src/main/java/com/thinkaurelius/titan/graphdb/TestMockLog.java","L12369","6","0","126","0","2","3","1615","0"
"L12373","TitanEventualGraphTest.java","titan-test/src/main/java/com/thinkaurelius/titan/graphdb/TitanEventualGraphTest.java","L12369","12","0","300","2","4","62","1077","0"
"L12374","TitanGraphBaseTest.java","titan-test/src/main/java/com/thinkaurelius/titan/graphdb/TitanGraphBaseTest.java","L12369","40","0","257","0","3","51","1615","0"
"L12375","TitanGraphConcurrentTest.java","titan-test/src/main/java/com/thinkaurelius/titan/graphdb/TitanGraphConcurrentTest.java","L12369","44","0","362","0","2","37","1077","0"
"L12376","TitanGraphIterativeBenchmark.java","titan-test/src/main/java/com/thinkaurelius/titan/graphdb/TitanGraphIterativeBenchmark.java","L12369","7","0","89","0","3","7","1077","0"
"L12377","TitanGraphPerformanceMemoryTest.java","titan-test/src/main/java/com/thinkaurelius/titan/graphdb/TitanGraphPerformanceMemoryTest.java","L12369","16","0","122","0","3","23","1077","0"
"L12378","TitanGraphTest.java","titan-test/src/main/java/com/thinkaurelius/titan/graphdb/TitanGraphTest.java","L12369","266","0","3857","14","5","222","1615","0"
"L12379","TitanIndexTest.java","titan-test/src/main/java/com/thinkaurelius/titan/graphdb/TitanIndexTest.java","L12369","60","0","1058","5","4","110","1615","0"
"L12380","TitanOperationCountingTest.java","titan-test/src/main/java/com/thinkaurelius/titan/graphdb/TitanOperationCountingTest.java","L12369","37","0","553","1","3","21","1615","0"
"L12381","TitanPartitionGraphTest.java","titan-test/src/main/java/com/thinkaurelius/titan/graphdb/TitanPartitionGraphTest.java","L12369","38","0","293","1","2","12","1615","0"
"L12382","TitanWritePerformanceTest.java","titan-test/src/main/java/com/thinkaurelius/titan/graphdb/TitanWritePerformanceTest.java","L12369","7","0","95","0","3","3","1077","0"
"L26425","BrittleTests.java","titan-test/src/main/java/com/thinkaurelius/titan/testcategory/BrittleTests.java","L26424","1","0","3","0","1","2","1615","0"
"L26426","KeyOrderAgnosticTests.java","titan-test/src/main/java/com/thinkaurelius/titan/testcategory/KeyOrderAgnosticTests.java","L26424","1","0","2","0","2","2","1077","0"
"L26427","MemoryTests.java","titan-test/src/main/java/com/thinkaurelius/titan/testcategory/MemoryTests.java","L26424","1","0","2","0","2","5","1077","0"
"L26428","OrderedKeyStoreTests.java","titan-test/src/main/java/com/thinkaurelius/titan/testcategory/OrderedKeyStoreTests.java","L26424","1","0","2","0","2","2","1077","0"
"L26429","PerformanceTests.java","titan-test/src/main/java/com/thinkaurelius/titan/testcategory/PerformanceTests.java","L26424","1","0","2","0","2","4","1077","0"
"L26430","SerialTests.java","titan-test/src/main/java/com/thinkaurelius/titan/testcategory/SerialTests.java","L26424","1","0","2","0","2","2","1077","0"
"L26431","UnorderedKeyStoreTests.java","titan-test/src/main/java/com/thinkaurelius/titan/testcategory/UnorderedKeyStoreTests.java","L26424","1","0","2","0","2","2","1077","0"
"L35367","FulgoraOLAPTest.java","titan-test/src/main/java/com/thinkaurelius/titan/olap/FulgoraOLAPTest.java","L35366","1","0","9","0","3","6","142","0"
"L35368","OLAPTest.java","titan-test/src/main/java/com/thinkaurelius/titan/olap/OLAPTest.java","L35366","39","0","384","0","3","23","1615","0"
"L35667","CsvConsumer.java","titan-test/src/main/java/com/thinkaurelius/titan/testutil/CsvConsumer.java","L35666","4","0","137","0","3","3","1077","0"
"L35668","JUnitBenchmarkProvider.java","titan-test/src/main/java/com/thinkaurelius/titan/testutil/JUnitBenchmarkProvider.java","L35666","25","0","294","0","3","15","1077","0"
"L35669","MemoryAssess.java","titan-test/src/main/java/com/thinkaurelius/titan/testutil/MemoryAssess.java","L35666","2","0","35","0","2","2","1615","0"
"L35670","RandomGenerator.java","titan-test/src/main/java/com/thinkaurelius/titan/testutil/RandomGenerator.java","L35666","9","0","78","0","1","2","1077","0"
"L35671","TestGraphConfigs.java","titan-test/src/main/java/com/thinkaurelius/titan/testutil/TestGraphConfigs.java","L35666","5","0","57","0","2","5","1077","0"
"L35672","TestUtil.java","titan-test/src/main/java/com/thinkaurelius/titan/testutil/TestUtil.java","L35666","4","0","27","0","2","4","1077","0"
"L3153","WritableConfigurationTest.java","titan-test/src/main/java/com/thinkaurelius/titan/diskstorage/configuration/WritableConfigurationTest.java","L3152","1","0","49","0","1","3","1615","0"
